number of zones,number of cells,flip type,status,average microseconds,number of samples
8,1729,geograph3d,fail_1,209.621,9954
8,1729,geograph3d,fail_2,nan,0
8,1729,geograph3d,fail_3,292.862,4213
8,1729,geograph3d,fail_4,271.728,169
8,1729,geograph3d,fail_5,214.312,16
8,1729,geograph3d,success,374.157,2938
8,1729,bfs,failure,37.3854,659
8,1729,bfs,success,12.2865,16631
8,6119,geograph3d,fail_1,223.117,32624
8,6119,geograph3d,fail_2,nan,0
8,6119,geograph3d,fail_3,293.492,23673
8,6119,geograph3d,fail_4,274.252,127
8,6119,geograph3d,fail_5,224,24
8,6119,geograph3d,success,415.156,4742
8,6119,bfs,failure,242.901,1598
8,6119,bfs,success,33.1083,59592
8,14859,geograph3d,fail_1,231.544,76182
8,14859,geograph3d,fail_2,nan,0
8,14859,geograph3d,fail_3,299.782,63832
8,14859,geograph3d,fail_4,272.206,243
8,14859,geograph3d,fail_5,217.571,7
8,14859,geograph3d,success,443.995,8326
8,14859,bfs,failure,747.702,1496
8,14859,bfs,success,74.6583,147094
8,29449,geograph3d,fail_1,249.709,148036
8,29449,geograph3d,fail_2,nan,0
8,29449,geograph3d,fail_3,317.83,132353
8,29449,geograph3d,fail_4,285.707,167
8,29449,geograph3d,fail_5,199,1
8,29449,geograph3d,success,480.142,13933
8,29449,bfs,failure,1900.86,1705
8,29449,bfs,success,146.415,292785
8,51389,geograph3d,fail_1,239.454,255536
8,51389,geograph3d,fail_2,nan,0
8,51389,geograph3d,fail_3,303.44,235074
8,51389,geograph3d,fail_4,280.468,310
8,51389,geograph3d,fail_5,nan,0
8,51389,geograph3d,success,467.574,22970
8,51389,bfs,failure,3842.53,2422
8,51389,bfs,success,230.893,511468
8,82179,geograph3d,fail_1,241.443,403111
8,82179,geograph3d,fail_2,nan,0
8,82179,geograph3d,fail_3,302.954,383669
8,82179,geograph3d,fail_4,275.358,299
8,82179,geograph3d,fail_5,173,2
8,82179,geograph3d,success,472.886,34709
8,82179,bfs,failure,5749.25,2827
8,82179,bfs,success,353.929,818963
8,123319,geograph3d,fail_1,247.005,610788
8,123319,geograph3d,fail_2,nan,0
8,123319,geograph3d,fail_3,311.507,569893
8,123319,geograph3d,fail_4,283.138,268
8,123319,geograph3d,fail_5,264,2
8,123319,geograph3d,success,479.715,52239
8,123319,bfs,failure,10369.1,3832
8,123319,bfs,success,526.911,1229358
2,1729,geograph3d,fail_1,222.769,7720
2,1729,geograph3d,fail_2,nan,0
2,1729,geograph3d,fail_3,292.594,4174
2,1729,geograph3d,fail_4,262.816,38
2,1729,geograph3d,fail_5,nan,0
2,1729,geograph3d,success,432.941,5358
2,1729,bfs,failure,84.2824,393
2,1729,bfs,success,15.2999,16897
2,6119,geograph3d,fail_1,230.831,29947
2,6119,geograph3d,fail_2,nan,0
2,6119,geograph3d,fail_3,281.545,28400
2,6119,geograph3d,fail_4,281.6,5
2,6119,geograph3d,fail_5,nan,0
2,6119,geograph3d,success,447.14,2838
2,6119,bfs,failure,288.23,391
2,6119,bfs,success,32.5919,60799
2,14859,geograph3d,fail_1,239.375,70854
2,14859,geograph3d,fail_2,nan,0
2,14859,geograph3d,fail_3,290.355,71617
2,14859,geograph3d,fail_4,279.107,28
2,14859,geograph3d,fail_5,nan,0
2,14859,geograph3d,success,465.717,6091
2,14859,bfs,failure,651.983,234
2,14859,bfs,success,70.3739,148356
2,29449,geograph3d,fail_1,240.041,144454
2,29449,geograph3d,fail_2,nan,0
2,29449,geograph3d,fail_3,298.373,137682
2,29449,geograph3d,fail_4,288,8
2,29449,geograph3d,fail_5,nan,0
2,29449,geograph3d,success,471.235,12346
2,29449,bfs,failure,1353.04,872
2,29449,bfs,success,132.15,293618
2,51389,geograph3d,fail_1,244.502,248187
2,51389,geograph3d,fail_2,nan,0
2,51389,geograph3d,fail_3,304.046,244853
2,51389,geograph3d,fail_4,265.06,150
2,51389,geograph3d,fail_5,nan,0
2,51389,geograph3d,success,475.461,20700
2,51389,bfs,failure,3399.26,699
2,51389,bfs,success,216.65,513191
2,82179,geograph3d,fail_1,246.84,400241
2,82179,geograph3d,fail_2,nan,0
2,82179,geograph3d,fail_3,308.421,388559
2,82179,geograph3d,fail_4,283.99,96
2,82179,geograph3d,fail_5,nan,0
2,82179,geograph3d,success,479.936,32894
2,82179,bfs,failure,5275.07,1736
2,82179,bfs,success,331.59,820054
2,123319,geograph3d,fail_1,251.142,603700
2,123319,geograph3d,fail_2,nan,0
2,123319,geograph3d,fail_3,313.598,580750
2,123319,geograph3d,fail_4,282,2
2,123319,geograph3d,fail_5,nan,0
2,123319,geograph3d,success,482.808,48738
2,123319,bfs,failure,11286.9,1226
2,123319,bfs,success,486.466,1231964
25,1729,geograph3d,fail_1,209.734,9280
25,1729,geograph3d,fail_2,nan,0
25,1729,geograph3d,fail_3,299.404,4418
25,1729,geograph3d,fail_4,276.373,241
25,1729,geograph3d,fail_5,220.38,50
25,1729,geograph3d,success,354.1,3301
25,1729,bfs,failure,21.469,1727
25,1729,bfs,success,12.9367,15563
25,6119,geograph3d,fail_1,226.149,34870
25,6119,geograph3d,fail_2,nan,0
25,6119,geograph3d,fail_3,316.794,18000
25,6119,geograph3d,fail_4,277.029,723
25,6119,geograph3d,fail_5,221.465,114
25,6119,geograph3d,success,404.69,7483
25,6119,bfs,failure,86.2649,3401
25,6119,bfs,success,32.0826,57789
25,14859,geograph3d,fail_1,227.897,78300
25,14859,geograph3d,fail_2,nan,0
25,14859,geograph3d,fail_3,300.082,58737
25,14859,geograph3d,fail_4,260.73,489
25,14859,geograph3d,fail_5,218.822,73
25,14859,geograph3d,success,415.177,10991
25,14859,bfs,failure,335.432,4070
25,14859,bfs,success,70.892,144520
25,29449,geograph3d,fail_1,235.462,151601
25,29449,geograph3d,fail_2,nan,0
25,29449,geograph3d,fail_3,302.896,125947
25,29449,geograph3d,fail_4,262.266,541
25,29449,geograph3d,fail_5,228.208,72
25,29449,geograph3d,success,442.005,16329
25,29449,bfs,failure,847.723,3806
25,29449,bfs,success,136.521,290684
25,51389,geograph3d,fail_1,238.819,258701
25,51389,geograph3d,fail_2,nan,0
25,51389,geograph3d,fail_3,305.375,227979
25,51389,geograph3d,fail_4,270.902,809
25,51389,geograph3d,fail_5,221.258,93
25,51389,geograph3d,success,454.91,26308
25,51389,bfs,failure,1080.98,4998
25,51389,bfs,success,231.149,508892
25,82179,geograph3d,fail_1,242.813,409409
25,82179,geograph3d,fail_2,nan,0
25,82179,geograph3d,fail_3,308.658,372366
25,82179,geograph3d,fail_4,265.593,854
25,82179,geograph3d,fail_5,220.299,97
25,82179,geograph3d,success,465.278,39064
25,82179,bfs,failure,2227.1,5774
25,82179,bfs,success,356.595,816016
25,123319,geograph3d,fail_1,245.587,615688
25,123319,geograph3d,fail_2,nan,0
25,123319,geograph3d,fail_3,311.921,559875
25,123319,geograph3d,fail_4,270.525,907
25,123319,geograph3d,fail_5,233.781,105
25,123319,geograph3d,success,471.841,56615
25,123319,bfs,failure,5111.83,8403
25,123319,bfs,success,526.807,1224787
